Timestamp,In which region do you live?,What is your gender,How old are you?,Please give details of your school education,What is your occupation?,Are you aware of the novel coronavirus outbreak?,What do you know about the new coronavirus disease?,What kind of information have you received about the disease?                                                                                Mark all answers that are true:,Where did you hear about the new coronavirus from? Mark all channels that you heard about the disease from:,Which channel/who do you trust the most to receive information related tocoronavirus? Check the best channel for you to receive coronavirus information from:,How dangerous do you think the new coronavirus risk is? Choose the best answer that matches your belief about the disease:,Who do you think is at highest risk to get the coronavirus? Mark all those you think are likely to become sick:,Do you think you are likely to become sick with the new coronavirus ?,How does the coronavirus spread? Mark all the ways you think the disease spreads:,What are the main symptoms? Mark all the symptoms you think are caused by the new coronavirus:,Do you know how to prevent it? Choose all the prevention steps you know about:,What have you and your family done to to prevent becoming sick with coronavirus in the recent days?Mark all steps that you have taken:,Do you consider important to take actions to prevent the spread of coronavirus in your community?,What to do if you or someone from your family has symptoms of this disease? Mark all the actions you would take:,What more would you like to know about the disease?Choose all topics that you would like to know about:,Do you think the coronavirus disease is generating stigma against specific people? ,(If yes) Which group is being dis-criminated in your community because of coronavirus?,What do you usually do if you have a regular flu? Mark the 1-2 most typical actions you take:,From where/who do you usually receive information on flu and other diseases? Choose as many channels as you have heard about regular flu from:
2020/05/08 4:56:55 PM GMT,Ashanti,Female,23,Tertiary/University,Not working ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Community health workers;Community leaders,Health unit/Health care worker;Community health workers;Red Cross Red Crescent volunteers,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese;Italians,"stay at home, so I don’t infect others;I wear a mask",Radio;TV;Community health workers
2020/05/08 5:00:54 PM GMT,Western,Female,25,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Religious leaders,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends,Very dangerous;More or less dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Yes,Chinese,"stay at home, so I don’t infect others;I wear a mask;I drink tea until I recover",Radio;TV;Health unit/Health care worker;Friends
2020/05/08 5:08:00 PM GMT,Greater Accra,Female,21,Tertiary/University,Teacher,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Health unit/Health care worker;Family members;Friends,Radio;TV;Health unit/Health care worker,Very dangerous,Pregnant women;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,No,,I have never had the flu,Health unit/Health care worker
2020/05/08 5:09:51 PM GMT,Western,Female,26,Tertiary/University,Teacher trainee,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Community leaders;Religious leaders;Any person from the community,TV;Health unit/Health care worker,More or less dangerous;It all depends on the individual how to take precautionary measures,Elderly persons;Health workers,No,Droplets from infected people;Airborne;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Catarrh,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,"Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Staying indoors when we possible, wearing of nose masks when going to town",Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I would stay in quarantine;Will call the Coronavirus hotline,More education on it because at first we cough but now u can't cough due to this virus but we should also get to know that coughing is an involuntary action,Yes,"Chinese;Those that been tested positive to the virus, Recovered from it.","Nothing, I continue with my normal life, after some time the flu goes away;I drink tea until I recover;Use hit water and rob",TV;Family members;Friends;Any person from the community
2020/05/08 5:17:39 PM GMT,Central,Female,21,Tertiary/University,student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp),Radio;TV,Very dangerous,Elderly persons;Health workers,No,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Italians,I have never had the flu,Radio;TV;Health unit/Health care worker
2020/05/08 5:23:20 PM GMT,Western,Female,23,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Any person from the community,Health unit/Health care worker,Very dangerous,Children under 5 years old;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;How it is transmitted;Most at risk groups;How to treat it,Yes,Chinese,I go to the health unit,Health unit/Health care worker;Friends
2020/05/08 5:30:29 PM GMT,Western,Female,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders;Any person from the community,Radio;TV;Religious leaders;Any person from the community,Very dangerous,Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit,How to protect yourself from the disease?;How it is transmitted,Yes,Chinese,"stay at home, so I don’t infect others;I go to the health unit",Radio;TV
2020/05/08 5:31:31 PM GMT,Western,Female,19,Tertiary/University,student ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Family members;Community leaders;Religious leaders,TV,Very dangerous,Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit,Most at risk groups;How to treat it,Yes,Chinese,I go to the health unit,Radio;TV;Health unit/Health care worker;Family members
2020/05/08 5:31:46 PM GMT,Ashanti,Female,24,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Red Cross Red Crescent volunteers;Community leaders;Religious leaders;Traditional midwives;The president ,Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Red Cross Red Crescent volunteers;Community leaders;Religious leaders;Traditional midwives;Any person from the community,Very dangerous;Very very very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Blood transfusion;Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals;Don't know,"Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Runnin of nose, cold and lost of appetite for food",Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,"Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals;Using sanitizers, avoid social gathering, using nose mask and staying at home.",Yes,I will go to the hospital / health unit;I would stay in quarantine,Is there any cure or disease found,Yes,Have not seen any one yet.,"stay at home, so I don’t infect others;I go to the health unit",Radio;TV;Health unit/Health care worker;Community health workers
2020/05/08 5:46:58 PM GMT,Central,Female,20,Tertiary/University,Student ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp);Community leaders;Religious leaders,Radio;TV;WhatsApp;Health unit/Health care worker;Community health workers,Very dangerous,Elderly persons,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,Most at risk groups;How to treat it,No,,I have never had the flu,Radio;TV;Health unit/Health care worker;Community health workers;Community leaders
2020/05/08 6:04:46 PM GMT,Western,Female,22,Tertiary/University,Students ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers,Radio;TV,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,Symptoms of the new coronavirus disease;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese;Asian;Italians,I wear a mask;I go to the health unit,Radio;TV;Health unit/Health care worker
2020/05/08 6:08:05 PM GMT,Greater Accra,Female,23,Tertiary/University,Students,Yes,I don’t know anything,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp,Radio;TV;WhatsApp,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I will go to the neighborhood nurse,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,No,Chinese;Asian;Italians,I go to the health unit,Radio;TV;Health unit/Health care worker
2020/05/08 6:13:49 PM GMT,Ahafo,Female,26,Tertiary/University, Very dangerous,Yes,I don’t know anything,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;What to do if you have the symptoms,Social Media (not WhatsApp),Social Media (not WhatsApp),Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Adults,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I would stay in quarantine,How to protect yourself from the disease?;How it is transmitted;What to do if you have the symptoms,No,Chinese,"I have never had the flu;stay at home, so I don’t infect others",Radio
2020/05/08 6:15:36 PM GMT,Greater Accra,Female,25,Tertiary/University,student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Religious leaders,TV;Social Media (not WhatsApp),Very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Airborne;Direct contact with infected people.,Fever;Cough;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing,Covering mouth and nose when coughing or sneezing,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;How to treat it,Yes,Chinese,"Nothing, I continue with my normal life, after some time the flu goes away;I go to the health unit",Family members;Community health workers
2020/05/08 6:22:11 PM GMT,Central,Female,22,Tertiary/University,Student ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends,TV;Health unit/Health care worker,More or less dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Blood transfusion;Droplets from infected people;Airborne,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine;I will call the health line number they’ve given to us ,"How long it stays before it’s identified, or the number of hours or days an infected person can transmit to an uninfected person ",Yes,Chinese;People(Ghanaians)  working with the Chinese ,I go to the health unit,Health unit/Health care worker
2020/05/08 6:23:02 PM GMT,Ashanti,Female,22,Tertiary/University,A student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders;Any person from the community,TV;Social Media (not WhatsApp);Health unit/Health care worker;Religious leaders,Very dangerous,Adolescents up to 15 years old;Adults;Elderly persons;Health workers,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,No,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,"Nothing, I continue with my normal life, after some time the flu goes away;stay at home, so I don’t infect others;I wear a mask;I go to the health unit",Radio;TV;Health unit/Health care worker;Family members;Religious leaders
2020/05/08 6:24:19 PM GMT,Western,Female,27,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Religious leaders;Any person from the community,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker,Very dangerous,Youth;Adults;Elderly persons;Health workers,Yes,Blood transfusion;Droplets from infected people;Direct contact with infected people.;Sexual intercourse contact,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I would stay in quarantine,How to treat it,Yes,Chinese,"Nothing, I continue with my normal life, after some time the flu goes away",Radio;TV;Health unit/Health care worker;Family members;Friends;Religious leaders
2020/05/08 6:25:09 PM GMT,Greater Accra,Female,24,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers,Radio;TV;WhatsApp;Family members;Friends,Very dangerous,Children under 5 years old;Elderly persons;Pregnant women;Health workers,Yes,Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,What to do if you have the symptoms;How to treat it,Yes,Chinese,"stay at home, so I don’t infect others;I wear a mask;I go to the health unit",TV;Health unit/Health care worker
2020/05/08 6:28:56 PM GMT,Greater Accra,Female,27,Tertiary/University,Am a student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Religious leaders;Any person from the community,Radio;TV;WhatsApp;Religious leaders,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;What to do if you have the symptoms,Yes,Asian,"Nothing, I continue with my normal life, after some time the flu goes away;stay at home, so I don’t infect others;I wear a mask;I go to the health unit",Radio;TV;Health unit/Health care worker;Family members;Religious leaders
2020/05/08 6:38:58 PM GMT,Central,Female,25,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Community leaders;Religious leaders,TV;WhatsApp;Social Media (not WhatsApp),Very dangerous,Youth,No,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;How to treat it,Yes,Chinese,"stay at home, so I don’t infect others",TV
2020/05/08 6:42:04 PM GMT,Western,Female,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp),TV;Health unit/Health care worker;Family members;Friends,Very dangerous,Children under 5 years old;Youth;Adults;Elderly persons;Health workers,Don´t know,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Yes,I will look for a more experienced relative to advise me on what to do;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,"stay at home, so I don’t infect others;I wear a mask;I go to the health unit",Radio;TV;Health unit/Health care worker;Family members;Friends
2020/05/08 6:43:23 PM GMT,Western,Female,20,Tertiary/University,Student ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;Social Media (not WhatsApp);Family members;Friends,Radio;TV;WhatsApp;Social Media (not WhatsApp),Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Blood transfusion;Droplets from infected people;Airborne;Touching contaminated objects/surfaces;Sexual intercourse contact;Drinking unclean water,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to treat it,Yes,Chinese,"stay at home, so I don’t infect others;I go to the health unit",Radio;TV;Health unit/Health care worker;Family members;Friends
2020/05/08 6:43:35 PM GMT,Western,Female,20,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Religious leaders;Any person from the community,Radio;TV;Health unit/Health care worker;Community health workers,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Social distancing and washing your hands at least 20 seconds with soap under running water and also sanitizeing your hands,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Families of a person affected with corona virus ,I have never had the flu,Radio;TV
